127.0.0.1 - - [09/Sep/2020:15:34:34 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Sep/2020:15:34:35 -0400] "GET /Application/ HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [09/Sep/2020:15:34:45 -0400] "GET /Application/greet? HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [09/Sep/2020:15:36:58 -0400] "GET /Application/greet? HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [09/Sep/2020:15:37:17 -0400] "GET /Application/greet? HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [09/Sep/2020:15:37:27 -0400] "GET /Application/greet? HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [09/Sep/2020:15:37:44 -0400] "GET /Application/greet? HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [09/Sep/2020:15:54:44 -0400] "GET /Application/greet? HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [09/Sep/2020:16:13:11 -0400] "GET /Application/greet? HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [09/Sep/2020:16:14:41 -0400] "GET /Application/greet? HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [09/Sep/2020:16:14:45 -0400] "GET /Application/greet? HTTP/1.1" 200 196
